cycle_id,sampled_at,average_weight
19048,2022-12-28,12.98
19048,2022-12-28,12.98
19048,2023-01-04,15.65
19048,2023-01-11,17.65
19048,2023-01-18,18.8
19048,2023-01-18,18.8
19048,2023-01-24,17.04
19048,2023-01-25,17.04
19048,2023-02-01,20.3
17125,2022-06-19,4.0
17125,2022-06-12,3.54
17125,2022-06-26,5.2
17125,2022-07-03,7.11
17125,2022-07-19,10.86
14693,2023-03-20,2.26
14693,2023-03-29,3.5
14693,2023-04-07,6.25
14693,2023-04-18,8.13
18740,2022-06-24,2.27
18740,2022-07-08,4.0
18740,2022-07-15,4.71
18740,2022-07-01,3.2
15308,2022-12-10,4.25
15308,2022-12-17,6.45
15308,2022-12-24,8.17
15308,2022-12-31,9.17
15308,2023-01-07,10.51
15308,2023-01-14,11.5
15308,2023-01-18,12.75
15308,2023-01-29,11.9
18918,2021-05-19,4.89
18918,2021-05-26,6.95
18918,2021-06-02,8.89
18918,2021-06-09,10.41
18918,2021-06-16,13.21
18918,2021-06-24,15.79
18918,2021-06-30,17.06
18918,2021-07-08,20.0
18918,2021-07-14,21.7
18918,2021-07-21,24.94
12359,2022-10-30,0.81
12359,2022-11-09,2.65
12359,2022-11-16,4.67
12359,2022-11-23,6.76
12359,2022-11-30,9.19
12359,2022-12-07,12.78
12359,2022-12-14,11.39
12359,2023-01-03,16.5
12359,2022-12-20,10.56
12359,2023-01-10,18.33
14822,2022-06-19,5.88
14822,2022-06-12,3.98
14822,2022-06-26,6.93
14822,2022-07-03,7.45
14822,2022-07-19,10.69
16064,2022-06-13,4.0
16064,2022-06-20,8.1
16064,2022-06-28,17.9
20151,2022-12-18,2.44
20151,2022-12-25,3.91
20151,2023-01-01,6.09
20151,2023-01-14,9.14
20151,2023-01-08,7.37
20151,2023-01-22,10.44
20151,2023-01-29,12.6
20151,2023-02-02,13.64
17633,2021-12-04,2.25
17633,2021-12-18,6.93
17741,2022-05-29,3.26
17741,2022-06-12,8.16
17741,2022-06-25,13.62
17741,2022-07-03,16.69
17741,2022-07-09,19.8
17741,2022-07-16,23.35
17741,2022-07-30,26.68
17741,2022-07-22,27.62
20837,2023-01-01,5.47
20259,2023-02-21,6.11
20259,2023-02-14,4.8
20259,2023-02-07,3.68
20259,2023-01-31,2.47
20259,2023-01-24,1.98
20259,2023-02-28,7.27
20259,2023-03-07,8.58
20259,2023-03-14,9.0
20259,2023-03-21,10.56
20259,2023-04-04,15.4
20259,2023-03-28,13.32
20259,2023-04-18,19.5
20259,2023-04-11,17.7
20259,2023-04-25,21.87
20259,2023-05-02,24.5
15778,2022-07-19,0.53
15778,2022-07-29,2.22
15778,2022-08-08,4.28
15778,2022-08-18,5.59
15778,2022-08-23,6.01
15067,2023-03-02,1.3
15067,2023-03-09,2.2
15067,2023-03-16,2.6
15067,2023-03-30,3.2
15067,2023-03-23,3.0
16636,2023-02-08,4.0
16636,2023-02-08,4.0
16636,2023-02-19,6.06
16636,2023-02-25,7.7
16636,2023-02-27,8.3
19318,2022-06-18,3.0
12491,2022-07-01,15.4
12491,2022-06-20,12.5
16513,2022-12-10,3.38
16513,2022-12-17,5.48
16513,2022-12-24,7.26
16513,2022-12-31,8.66
16513,2023-01-07,9.97
16513,2023-01-15,12.09
16513,2023-01-18,12.94
16513,2023-01-29,11.76
20294,2023-03-27,2.1
20294,2023-04-03,2.8
20294,2023-04-13,4.63
20294,2023-04-23,6.4
20294,2023-05-03,11.0
20294,2023-05-08,12.5
15017,2022-04-09,3.34
15017,2022-04-16,5.54
15017,2022-04-23,7.33
15017,2022-04-30,9.4
15017,2022-05-07,10.9
15017,2022-05-12,12.51
17437,2022-09-02,3.06
17437,2022-09-09,4.9
17437,2022-09-19,7.6
17437,2022-09-26,11.3
17437,2022-10-03,13.1
17437,2022-10-10,16.8
21019,2022-06-22,3.1
21019,2022-06-29,4.03
21019,2022-07-06,4.81
21019,2022-07-13,5.66
21019,2022-07-20,6.42
17882,2023-07-11,4.76
16961,2021-02-23,4.3
16626,2023-04-26,2.2
9104,2022-06-02,88.0
16666,2021-05-10,2.01
16666,2021-05-17,3.02
16666,2021-05-24,4.74
16666,2021-05-31,5.91
16666,2021-06-07,7.0
16666,2021-06-11,7.24
16666,2021-06-14,9.07
16666,2021-06-21,10.32
16666,2021-06-27,10.77
16666,2021-07-05,14.31
16666,2021-07-12,16.0
16666,2021-06-28,10.77
16666,2021-07-19,16.19
16666,2021-07-26,18.34
15511,2022-06-24,2.98
9097,2021-11-07,2.2
9097,2021-11-17,3.3
17832,2022-08-24,2.75
17832,2022-09-03,4.2
17832,2022-09-12,5.5
14437,2022-10-05,0.17
14437,2022-10-12,0.54
14437,2022-10-19,0.85
14437,2022-10-26,1.97
14437,2022-11-02,2.53
14437,2022-11-02,2.53
14437,2022-11-16,4.96
14437,2022-11-23,8.03
14437,2022-11-16,4.96
14437,2022-12-07,10.5
14437,2022-11-30,9.4
14437,2022-12-14,12.4
14437,2022-12-21,14.13
14437,2022-12-28,15.72
14437,2023-01-04,18.16
14437,2023-01-11,23.7
14437,2023-01-18,22.63
21023,2023-03-11,7.4
21023,2023-03-18,8.0
21023,2023-03-25,9.8
21023,2023-03-30,11.0
20742,2022-12-01,5.38
20742,2022-12-11,8.19
20742,2022-12-21,12.32
20742,2022-12-31,15.44
19685,2022-12-03,3.08
19685,2022-12-11,6.3
19685,2022-12-18,7.13
16331,2022-06-23,4.5
17639,2022-02-24,3.0
17639,2022-03-03,4.7
17639,2022-03-10,7.0
17639,2022-03-17,10.0
17639,2022-03-24,12.5
17639,2022-03-31,14.7
17639,2022-04-07,16.9
17639,2022-04-14,19.2
17639,2022-04-21,22.2
17639,2022-04-28,25.0
17639,2022-05-05,28.6
17639,2022-05-05,28.6
15493,2023-04-04,2.85
19303,2022-07-30,0.02
19303,2022-08-17,0.26
19303,2022-08-24,0.25
19303,2022-08-31,0.85
19303,2022-09-07,0.98
19303,2022-09-14,1.67
19303,2022-09-21,2.37
19303,2022-09-28,3.72
19303,2022-10-05,4.58
19303,2022-10-12,5.96
19303,2022-10-12,5.96
19303,2022-10-19,7.29
19303,2022-10-19,7.29
19303,2022-10-26,8.22
19303,2022-11-02,10.14
19303,2022-11-02,10.14
19303,2022-11-09,11.96
19303,2022-11-16,13.45
19303,2022-11-23,14.77
19303,2022-11-23,14.77
19303,2022-11-30,15.44
19303,2022-11-30,15.44
19303,2022-12-07,15.93
18827,2023-06-13,2.64
15789,2022-06-21,5.3
20671,2023-01-11,0.02
20671,2023-01-12,0.02
20671,2023-01-10,0.02
20671,2023-01-13,0.03
20671,2023-01-14,0.04
20671,2023-01-15,0.05
20671,2023-01-16,0.06
20671,2023-01-17,0.07
20671,2023-01-18,0.08
20671,2023-01-18,0.07
20671,2023-01-19,0.1
20671,2023-01-20,0.12
20671,2023-01-21,0.15
20671,2023-01-22,0.18
20671,2023-01-23,0.21
20671,2023-01-24,0.26
20671,2023-01-25,0.31
20671,2023-01-26,0.37
20671,2023-01-27,0.45
20671,2023-01-28,0.54
20671,2023-01-29,0.65
20671,2023-01-30,0.77
20671,2023-01-31,0.93
20671,2023-02-01,1.14
20671,2023-02-02,1.34
20671,2023-02-03,1.6
20671,2023-02-04,1.6
20671,2023-02-06,1.73
20671,2023-02-09,2.19
20671,2023-02-09,2.19
20671,2023-02-09,2.19
20671,2023-02-09,2.19
20671,2023-02-14,2.87
20671,2023-02-19,3.58
20671,2023-02-24,3.93
20671,2023-03-01,4.95
20671,2023-03-06,5.58
20671,2023-03-11,5.43
20671,2023-03-16,5.75
20671,2023-03-20,6.55
20671,2023-03-25,7.15
20671,2023-03-25,7.15
20671,2023-03-30,7.31
20671,2023-04-04,7.98
20671,2023-04-10,9.11
18754,2022-04-14,7.4
15836,2023-03-08,1.0
15836,2023-03-15,1.5
15836,2023-03-22,2.5
15836,2023-04-12,6.04
15836,2023-04-05,4.3
15836,2023-03-29,3.6
15836,2023-04-19,7.11
15836,2023-04-26,9.52
15836,2023-05-03,11.6
15836,2023-05-10,14.2
15836,2023-05-17,16.0
15836,2023-05-24,16.7
15836,2023-05-31,19.0
15836,2023-06-05,20.0
15836,2023-06-07,20.0
15836,2023-06-14,20.83
23531,2022-10-19,3.08
23531,2022-10-26,4.6
23531,2022-11-02,5.3
23531,2022-11-09,6.2
20246,2023-01-10,0.02
20246,2023-01-11,0.02
20246,2023-01-12,0.02
20246,2023-01-13,0.03
20246,2023-01-14,0.04
20246,2023-01-15,0.05
20246,2023-01-16,0.06
20246,2023-01-17,0.07
20246,2023-01-18,0.08
20246,2023-01-18,0.07
20246,2023-01-19,0.1
20246,2023-01-20,0.12
20246,2023-01-21,0.15
20246,2023-01-22,0.18
20246,2023-01-23,0.21
20246,2023-01-24,0.26
20246,2023-01-25,0.31
20246,2023-01-24,0.25
20246,2023-01-26,0.37
20246,2023-01-27,1.0
20246,2023-01-24,0.26
20246,2023-01-25,0.31
20246,2023-01-26,0.37
20246,2023-01-27,0.45
20246,2023-01-28,0.54
20246,2023-01-29,0.65
20246,2023-01-30,0.77
20246,2023-01-31,0.93
20246,2023-02-01,1.15
20246,2023-02-02,1.34
20246,2023-02-03,1.6
20246,2023-02-04,1.55
20246,2023-02-06,1.97
20246,2023-02-09,2.12
20246,2023-02-14,2.25
20246,2023-02-19,3.62
20246,2023-02-24,5.26
20246,2023-03-01,6.6
20246,2023-03-06,8.66
20246,2023-03-11,9.8
20246,2023-03-16,10.8
20246,2023-03-20,11.59
20246,2023-03-25,14.0
20246,2023-03-25,13.5
20246,2023-03-30,16.29
20246,2023-04-04,18.77
20246,2023-04-10,19.56
20246,2023-04-14,21.35
20246,2023-04-14,10.43
21834,2023-05-10,4.76
21834,2023-05-21,9.09
19855,2022-04-09,3.52
19855,2022-04-16,6.13
19855,2022-04-23,7.97
19855,2022-04-30,9.67
19855,2022-05-07,11.35
19855,2022-05-14,13.07
18223,2022-10-14,0.7
18223,2022-10-19,0.9
19615,2023-01-03,3.09
19615,2023-01-10,5.0
19615,2023-01-17,7.03
19615,2023-01-24,9.3
19615,2023-02-04,12.45
19615,2023-02-11,15.9
19615,2023-02-23,18.7
19615,2023-03-02,21.6
19615,2023-03-08,23.1
17632,2022-03-23,3.6
17632,2022-03-30,5.1
17632,2022-04-06,7.1
17632,2022-04-14,9.8
17632,2022-04-21,13.0
17632,2022-04-28,16.7
17632,2022-05-05,19.6
17632,2022-05-05,19.6
17632,2022-05-12,22.7
17632,2022-05-19,25.0
20075,2023-03-14,1.67
20075,2023-03-21,2.85
20075,2023-03-28,4.3
20075,2023-04-04,6.3
20075,2023-05-09,20.2
20075,2023-04-11,9.1
20075,2023-04-18,13.1
20075,2023-04-25,15.1
20075,2023-05-02,16.3
20075,2023-05-16,24.4
20075,2023-05-23,25.8
20075,2023-05-30,28.4
19957,2022-11-17,4.5
19957,2022-12-20,16.7
15819,2023-01-25,1.7
15819,2023-02-01,3.25
15819,2023-02-08,5.0
15819,2023-02-15,6.1
15819,2023-02-21,7.3
15819,2023-02-22,7.3
15819,2023-03-01,9.4
15819,2023-03-15,12.3
15819,2023-03-08,10.6
15819,2023-03-22,13.45
15819,2023-04-12,17.3
15819,2023-04-05,15.7
15819,2023-03-29,14.2
15819,2023-04-19,20.4
15869,2022-12-14,1.72
15869,2022-12-19,2.36
15869,2022-12-26,3.05
15869,2023-01-02,4.16
15869,2023-01-09,5.16
15869,2023-01-16,5.45
15869,2023-01-23,6.0
15869,2023-01-31,6.38
15869,2023-02-06,6.39
18670,2021-12-04,2.86
18670,2021-12-18,7.34
18670,2021-12-25,10.98
15219,2022-07-12,6.8
15219,2022-07-19,7.29
15219,2022-07-26,8.68
15219,2022-08-02,10.21
15005,2022-05-09,4.1
15005,2022-05-15,5.58
15005,2022-05-23,6.87
15005,2022-05-30,8.67
15005,2022-06-06,11.28
17860,2022-06-29,2.45
17860,2022-07-11,3.4
17860,2022-07-21,5.2
14094,2023-01-11,2.5
14094,2023-01-18,5.0
14094,2023-01-25,6.46
14094,2023-02-01,8.3
14094,2023-02-08,10.7
14094,2023-02-15,12.2
14094,2023-02-21,13.1
14094,2023-02-22,13.1
14094,2023-03-01,15.5
14094,2023-03-15,21.0
14094,2023-03-08,18.1
18233,2023-04-04,2.5
18233,2023-04-26,5.26
15508,2022-07-24,1.03
15508,2022-07-29,2.12
15508,2022-08-03,2.54
15508,2022-08-08,3.0
15508,2022-08-13,5.22
15508,2022-08-18,6.56
15508,2022-08-23,7.2
15508,2022-08-28,8.65
15508,2022-09-02,9.82
15508,2022-09-07,11.72
15508,2022-09-12,15.8
15508,2022-09-17,17.2
15508,2022-09-20,19.68
15508,2022-09-27,22.1
15508,2022-10-04,25.0
15508,2022-10-17,31.62
15508,2022-10-12,28.5
15508,2022-10-22,34.64
15508,2022-10-27,35.86
15508,2022-11-01,39.2
19077,2023-05-10,6.6
19077,2023-05-16,9.09
16365,2022-08-15,1.65
16365,2022-08-22,3.36
16365,2022-08-29,6.05
16365,2022-09-05,7.31
16365,2022-09-12,9.2
16365,2022-09-18,10.03
16365,2022-09-26,13.85
16365,2022-10-03,16.01
16365,2022-10-10,16.52
16365,2022-10-16,18.51
15066,2021-05-10,2.54
15066,2021-05-17,3.46
15066,2021-05-24,5.0
15066,2021-05-31,6.25
15066,2021-06-07,8.7
15066,2021-06-11,8.8
15066,2021-06-14,10.07
15066,2021-06-21,12.36
15066,2021-06-27,12.85
15066,2021-07-05,14.5
15066,2021-07-12,16.14
15066,2021-06-28,12.85
15066,2021-07-19,17.92
15066,2021-07-26,20.83
12863,2023-02-13,1.74
12863,2023-02-19,2.6
